id,FirstFound,LastChecked,LastPresent,Fate,Freq,Year,Island,N,Dens_Index,Type,Veg,place,Cause,PredType,StartAge
C2-1-1,30,36,36,0,1,2017,Cistern ,18,1,c,rock,i,NA,NA,11
F2-2-1,15,40,40,0,1,2017,Flat,31,2,c,vine,p,NA,NA,14
F2-3-1,15,40,40,0,1,2017,Flat,31,2,b,rock,p,NA,NA,14
G2-1,30,34,34,0,1,2017,Guana,133,2,c,rock,i,NA,NA,9
G2-2,30,35,35,0,1,2017,Guana,133,2,b,rock,i,NA,NA,10
G3-1,30,38,38,0,1,2017,Guana,133,9,c,bush ,i,NA,NA,13
G3-3,30,48,48,0,1,2017,Guana,133,9,c,bush ,i,NA,NA,22
G4-1,30,34,34,0,1,2017,Guana,133,3,c,bush ,i,NA,NA,9
G4-2,30,43,43,0,1,2017,Guana,133,3,c,bush ,i,NA,NA,18
L1-2,14,32,32,0,1,2017,LeDuck,495,12,b,rock,i,NA,NA,7
L1-4,14,28,28,0,1,2017,LeDuck,495,12,c,grass,i,NA,NA,3
L1-5,14,28,28,0,1,2017,LeDuck,495,12,c,grass,i,NA,NA,7
L1-6,14,28,28,0,1,2017,LeDuck,495,12,c,grass,i,NA,NA,7
L6-1-17,14,23,23,0,1,2017,LeDuck,495,3,c,grass,i,NA,NA,-2
C2-1,18,31,31,0,1,2018,Cockroach,227,2,b,vine,p,NA,NA,6
C2-2,18,28,28,0,1,2018,Cockroach,227,2,c ,vine,p,NA,NA,3
C3-1,18,24,24,0,1,2018,Cockroach,227,5,gv,litter,p,NA,NA,-1
C3-2,18,25,25,0,1,2018,Cockroach,227,5,gv,litter,p,NA,NA,-1
C3-3,18,25,25,0,1,2018,Cockroach,227,5,gv,litter,p,NA,NA,-1
C3-4,18,25,25,0,1,2018,Cockroach,227,5,gv,litter,p,NA,NA,-1
C4-1,18,26,26,0,1,2018,Cockroach,227,2,b,litter,i,NA,NA,1
C5-4,18,34,34,0,1,2018,Cockroach,227,11,gv,litter,i,NA,NA,8
C5-9,18,39,39,0,1,2018,Cockroach,227,11,c,grass,i,NA,NA,12
C6,27,31,31,0,1,2018,Cockroach,227,1,b,rock,p,NA,NA,6
F10-1,6,27,27,0,1,2018,Flat,50,2,c,vine,i,NA,NA,2
F10-2,6,27,27,0,1,2018,Flat,50,2,c,vine,i,NA,NA,2
F2-1,6,28,28,0,1,2018,Flat,50,7,c,vine,i,NA,NA,3
F2-2,6,28,28,0,1,2018,Flat,50,7,gv,vine,i,NA,NA,3
F2-4,6,28,28,0,1,2018,Flat,50,7,gv,vine,p,NA,NA,3
F2-5,6,28,28,0,1,2018,Flat,50,7,c,vine,i,NA,NA,3
F2-6,6,29,29,0,1,2018,Flat,50,7,c,vine,i,NA,NA,2
F2-7,6,28,28,0,1,2018,Flat,50,7,c,vine,i,NA,NA,3
F3-1,6,28,28,0,1,2018,Flat,50,6,b,rock,p,NA,NA,3
F7-1,6,26,26,0,1,2018,Flat,50,3,c,litter,i,NA,NA,1
F7-2,8,32,32,0,1,2018,Flat,50,3,b,rock,i,NA,NA,7
L6-2,5,28,28,0,1,2018,LeDuck,296,6,c,vine,p,NA,NA,3
L6-4,5,31,31,0,1,2018,LeDuck,296,6,gv,vine,p,NA,NA,6
LK2-2,16,28,28,0,1,2018,LeDuck,296,2,gv,vine,p,NA,NA,3
LL-2,5,28,28,0,1,2018,LeDuck,296,4,c,vine,i,NA,NA,3
S1-3,9,30,30,0,1,2018,Shark,440,5,c,grass,i,NA,NA,5
S1-4,9,30,30,0,1,2018,Shark,440,5,c,grass,i,NA,NA,5
S5-1,9,28,28,0,1,2018,Shark,440,2,c,grass,i,NA,NA,3
ST-1,16,26,26,0,1,2018,Shark,440,5,b,rock,p,NA,NA,1
ST-2,16,26,26,0,1,2018,Shark,440,5,gv,vine,p,NA,NA,2
ST-3,16,25,25,0,1,2018,Shark,440,5,gv,vine,i,NA,NA,-1
ST-4,16,27,27,0,1,2018,Shark,440,5,c,vine,i,NA,NA,2
ST-5,16,25,25,0,1,2018,Shark,440,5,b,rock,i,NA,NA,-1
C10,1,17,18,1,1,2017,Congo,50,1,b,rock,p,NA,NA,-13
C2A-1,1,2,3,1,1,2017,Congo,50,2,b,rock,p,P,RAT,-13
C2B-1,15,15,16,1,1,2017,Congo,50,2,c,grass,p,P,RAT,-13
C5-1-1,1,7,8,1,1,2017,Congo,50,2,c,bush ,p,P,RAT,-13
C5-2-1,5,8,9,1,1,2017,Congo,50,2,c,bush ,p,P,RTHA,-13
C6-1,1,5,6,1,1,2017,Congo,50,3,c,bush ,i,P,RAT,-13
C6-2,1,7,8,1,1,2017,Congo,50,3,c,bush ,i,P,RAT,-13
C6-3,1,7,8,1,1,2017,Congo,50,3,c,bush ,i,P,RAT,-13
C7,1,2,3,1,1,2017,Congo,50,2,b,rock,p,P,RAT,-13
F2-1-1,15,18,19,1,1,2017,Flat,31,2,c,vine,p,NV,NA,-13
L5-1,14,18,19,1,1,2017,LeDuck,495,2,c,vine,p,P,RTHA,-5
L5-2,14,22,23,1,1,2017,LeDuck,495,2,c,vine,p,P,YCNH,-5
L6-2-2,15,20,21,1,1,2017,LeDuck,495,3,gv,vine,i,NA,NA,-3
L6-3-3,14,41,42,1,1,2017,LeDuck,495,3,gv,vine,i,P,YCNH,16
S1-1-1,20,30,31,1,1,2017,Shark,21,4,c,bush ,p,A,NA,NA
S1-2-1,20,22,23,1,1,2017,Shark,21,4,b,rock,p,P,HC,NA
S1-3-1,20,28,29,1,1,2017,Shark,21,4,c,grass,p,A,NA,NA
S2-1,20,30,31,1,1,2017,Shark,21,1,c,grass,p,P,LAGU,NA
S3-1,20,27,28,1,1,2017,Shark,21,4,c,vine,i,A,NA,NA
S3-2,20,20,21,1,1,2017,Shark,21,4,c,vine,i,A,NA,NA
S3-3,20,23,24,1,1,2017,Shark,21,4,gv,litter,i,P,LAGU,NA
S3-4,20,29,30,1,1,2017,Shark,21,4,gv,litter,i,P,LAGU,4
S4,20,23,24,1,1,2017,Shark,21,1,c,vine,p,NA,NA,NA
C1,18,18,19,1,1,2018,Cockroach,227,0,c,vine,p,P,rat,3
C4-2,18,34,35,1,1,2018,Cockroach,227,2,b,litter,i,P,NA,3
C5-1,18,33,34,1,1,2018,Cockroach,227,11,b,rock,p,P,NA,3
C5-2,18,38,39,1,1,2018,Cockroach,227,11,gv,litter,i,P,NA,3
C5-3,18,32,33,1,1,2018,Cockroach,227,11,gv,litter,i,P,NA,3
C5-5,18,38,39,1,1,2018,Cockroach,227,11,c,grass,i,NA,NA,11
C5-6,18,30,31,1,1,2018,Cockroach,227,11,c,grass,i,NA,NA,3
C5-7,18,33,34,1,1,2018,Cockroach,227,11,c,grass,i,P,NA,3
C5-8,18,34,35,1,1,2018,Cockroach,227,11,c,grass,i,P,NA,3
F2-3,6,28,29,1,1,2018,Flat,50,7,gv,vine,p,P,ROST,4
F3-2,6,21,22,1,1,2018,Flat,50,6,b,rock,p,A,NA,3
F7-3,11,34,35,1,1,2018,Flat,50,3,b,rock,i,P,NA,3
L0-1,6,6,7,1,1,2018,LeDuck,296,1,c,grass,p,A,NA,3
L02-2,18,40,41,1,1,2018,LeDuck,296,4,c,vine,i,NA,NA,3
L02-3,18,40,41,1,1,2018,LeDuck,296,4,c,vine,i,NA,NA,16
L02-4,35,54,55,1,1,2018,LeDuck,296,4,c,grass,i,A,NA,5
L6-1-17,5,26,27,1,1,2018,LeDuck,296,6,c,vine,p,P,YCNH,5
L6-3,5,31,32,1,1,2018,LeDuck,296,6,c,vine,p,NA,NA,5
L6-5,5,28,29,1,1,2018,LeDuck,296,6,c,vine,p,NA,NA,3
LE,5,22,23,1,1,2018,LeDuck,296,1,c,grass,p,A,NA,5
LK-1,5,15,16,1,1,2018,LeDuck,296,1,gv,vine,p,A,NA,5
LK2-1,16,37,38,1,1,2018,LeDuck,296,2,gv,vine,p,A,NA,5
LL-1,5,31,32,1,1,2018,LeDuck,296,4,gv,vine,i,NV,NA,5
LN-1,5,31,32,1,1,2018,LeDuck,296,3,c,vine,p,NA,NA,5
LN-2,5,24,25,1,1,2018,LeDuck,296,3,gv,vine,p,P,NA,5
LS-1,5,31,32,1,1,2018,LeDuck,296,1,c,grass,i,P,HC,5
S4-1,9,23,24,1,1,2018,Shark,440,5,gv,vine,i,P,HC,1
S4-2,9,27,28,1,1,2018,Shark,440,5,c,vine,i,NA,NA,-3
S4-3,9,25,26,1,1,2018,Shark,440,5,c,vine,i,P,HC,1
S4-4,9,27,28,1,1,2018,Shark,440,5,c,vine,i,P,GREG,2
S5-2,9,29,30,1,1,2018,Shark,440,2,c,grass,i,P,NA,3
SO-1,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,1
SO-2,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,-1
SO-3,9,37,38,1,1,2018,Shark,440,5,gv,litter,i,P,GREG,1
SY-1,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
SY-2,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
SY-3,9,18,19,1,1,2018,Shark,440,3,b ,rock,i,P,GREG,1
